,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,pl_size_normalized,pl_mass_normalized,habitability_index,log_orbital_period,orbital_ellipse,Eccentricity_Class,star_category,star_color,star_luminosity,planet_system_count,distance_from_earth,PSI,Habitable_Zone,Density,Planet_Type,Temperature_Comparison,Distance_Class
2485,Kepler-1350 c,Kepler-1350,1,2,Transit,2016,Kepler,0,1.76678906,7.12e-06,-7.12e-06,0.0,0.0222,,,0.0,1.73,0.12,-0.18,0.0,0.154,0.011,-0.016,0.0,3.64,,,0.0,0.0115,,,0.0,M-R relationship,0.0,,,0.0,94.05,15.26,-13.47,0.0,730.0,,,0.0,0,,3827.0,45.42,-59.63,0.0,0.53,0.03,-0.05,0.0,0.55,0.03,-0.05,0.0,-0.06,0.12,-0.16,0.0,[Fe/H],4.74,0.04,-0.03,0.0,19h13m00.15s,288.250611,+46d40m46.14s,46.6794847,340.691,5.8225,-5.8225,16.577,0.664,-0.664,13.122,0.027,-0.027,16.2331,0.000841,-0.000841,0.15446428571428572,0.01145374449339207,0,1.0176874637101634,0.0,Low Eccentricity,Dwarf,orange,0.00014281854867823215,2,340.691,0.9977960667838066,Outside Habitable Zone,0.16783188213680833,Gaseous,Hotter than Earth,Close-in Planet
2486,Kepler-1351 b,Kepler-1351,1,1,Transit,2016,Kepler,0,0.91614077,1.92e-06,-1.92e-06,0.0,0.0156,,,0.0,0.65,0.05,-0.04,0.0,0.058,0.004,-0.004,0.0,0.208,,,0.0,0.00065,,,0.0,M-R relationship,0.0,,,0.0,421.96,6.21,-6.12,0.0,1212.0,,,0.0,0,,4439.0,82.58,-77.72,0.0,0.67,0.03,-0.04,0.0,0.7,0.03,-0.04,0.0,-0.03,0.156,-0.161,0.0,[Fe/H],4.64,0.02,-0.03,0.0,19h34m26.02s,293.6084289,+42d11m52.35s,42.1978746,202.782,0.695,-0.695,14.328,0.103,-0.103,11.47,0.014,-0.014,14.0866,0.000263,-0.000263,0.058035714285714295,0.0006544996853366896,0,0.6503131476222664,0.0,Low Eccentricity,Dwarf,orange,0.0003484390079959301,1,202.782,0.9904996868515388,Outside Habitable Zone,0.18081508327599943,Gaseous,Hotter than Earth,Close-in Planet
2487,Kepler-1352 b,Kepler-1352,1,1,Transit,2016,Kepler,0,1.87788275,7.35e-06,-7.35e-06,0.0,0.03,,,0.0,0.89,0.25,-0.11,0.0,0.079,0.022,-0.01,0.0,0.64,,,0.0,0.00201,,,0.0,M-R relationship,0.0,,,0.0,1892.59,57.09,-55.57,0.0,1701.0,,,0.0,0,,6118.0,107.49,-116.34,0.0,1.16,0.33,-0.14,0.0,1.11,0.11,-0.08,0.0,0.0,0.136,-0.192,0.0,[Fe/H],4.35,0.09,-0.18,0.0,19h22m46.51s,290.6937988,+48d42m05.19s,48.7014417,670.829,5.535,-5.446,13.338,0.069,-0.069,11.919,0.027,-0.027,13.2495,0.000192,-0.000192,0.07946428571428572,0.002013845185651353,0,1.057054867537986,0.0,Low Eccentricity,Main Sequence,white,2.963923944124248e-05,1,670.829,0.9576991519539588,Outside Habitable Zone,0.21673115465817577,Gaseous,Hotter than Earth,Close-in Planet
2488,Kepler-1353 b,Kepler-1353,1,1,Transit,2016,Kepler,0,24.7543966,0.0001431,-0.0001431,0.0,0.153,,,0.0,1.8,0.37,-0.13,0.0,0.161,0.033,-0.012,0.0,3.89,,,0.0,0.0123,,,0.0,M-R relationship,0.0,,,0.0,10.77,0.48,-0.46,0.0,491.0,,,0.0,0,,4776.0,158.62,-111.78,0.0,0.72,0.04,-0.04,0.0,0.76,0.04,-0.05,0.0,-0.06,0.158,-0.166,0.0,[Fe/H],4.61,0.03,-0.03,0.0,19h42m56.49s,295.7353911,+42d34m34.43s,42.5762317,593.384,10.697,-10.331,15.734,0.103,-0.103,13.141,0.028,-0.028,15.5059,0.00072,-0.00072,0.16071428571428573,0.01224040276903713,0,3.2486053542826046,0.0,Low Eccentricity,Dwarf,orange,4.468558853109399e-05,1,593.384,0.9996665240536163,Outside Habitable Zone,0.1592368129185887,Gaseous,Hotter than Earth,Moderate Distance
2489,Kepler-1354 b,Kepler-1354,1,1,Transit,2016,Kepler,0,76.613377,0.0007773,-0.0007773,0.0,0.3521,,,0.0,2.97,1.22,-0.5,0.0,0.265,0.109,-0.045,0.0,9.11,,,0.0,0.0287,,,0.0,M-R relationship,0.0,,,0.0,18.86,0.98,-0.93,0.0,466.0,,,0.0,0,,6168.0,136.72,-202.44,0.0,1.24,0.49,-0.19,0.0,1.16,0.16,-0.11,0.0,0.03,0.133,-0.156,0.0,[Fe/H],4.31,0.11,-0.23,0.0,19h24m58.83s,291.2451266,+37d45m32.43s,37.7590079,1119.45,22.655,-22.655,14.59,0.092,-0.092,12.858,0.033,-0.033,14.3687,0.000257,-0.000257,0.2651785714285715,0.028665827564505975,0,4.351739796353374,0.0,Low Eccentricity,Main Sequence,white,1.1642490454708896e-05,1,1119.45,0.9993501603978675,Outside Habitable Zone,0.08301573544553256,Gaseous,Hotter than Earth,Moderate Distance
2490,Kepler-1355 b,Kepler-1355,1,1,Transit,2016,Kepler,0,1.28958811,3.5e-06,-3.5e-06,0.0,0.0224,,,0.0,1.46,0.12,-0.1,0.0,0.13,0.011,-0.009,0.0,2.73,,,0.0,0.00859,,,0.0,M-R relationship,0.0,,,0.0,944.87,75.25,-69.0,0.0,1448.0,,,0.0,0,,5352.0,68.59,-62.37,0.0,0.83,0.06,-0.04,0.0,0.88,0.04,-0.04,0.0,-0.04,0.137,-0.15,0.0,[Fe/H],4.55,0.03,-0.07,0.0,18h54m57.94s,283.7414249,+49d04m04.74s,49.0679833,911.269,25.492,-24.165,15.595,0.058,-0.058,13.748,0.059,-0.059,15.452,0.000533,-0.000533,0.13035714285714287,0.008590308370044052,0,0.8283719367597451,0.0,Low Eccentricity,Main Sequence,yellow,1.877985289820152e-05,1,911.269,0.9788033887780017,Outside Habitable Zone,0.20941870533977677,Gaseous,Hotter than Earth,Close-in Planet
2491,Kepler-1356 b,Kepler-1356,1,1,Transit,2016,Kepler,0,0.63400294,1.2e-06,-1.2e-06,0.0,0.0136,,,0.0,1.53,0.11,-0.1,0.0,0.136,0.01,-0.009,0.0,2.96,,,0.0,0.0093,,,0.0,M-R relationship,0.0,,,0.0,1966.06,136.0,-126.09,0.0,1714.0,,,0.0,0,,5106.0,65.11,-84.13,0.0,0.78,0.04,-0.04,0.0,0.82,0.04,-0.04,0.0,-0.02,0.142,-0.158,0.0,[Fe/H],4.58,0.03,-0.05,0.0,19h23m58.89s,290.9953825,+43d14m37.97s,43.2438792,845.228,23.535,-22.315,15.887,0.092,-0.092,13.734,0.043,-0.043,15.7195,0.000621,-0.000621,0.13660714285714287,0.009314033983637508,0,0.49103279570179836,0.0,Low Eccentricity,Dwarf,yellow,2.2237919021080236e-05,1,845.228,0.9560152290285551,Outside Habitable Zone,0.1973007832382259,Gaseous,Hotter than Earth,Close-in Planet
2492,Kepler-1357 b,Kepler-1357,1,1,Transit,2016,Kepler,0,3.0091324,1.52e-05,-1.52e-05,0.0,0.041,,,0.0,1.28,0.2,-0.11,0.0,0.114,0.018,-0.01,0.0,2.18,,,0.0,0.00687,,,0.0,M-R relationship,0.0,,,0.0,449.98,30.59,-28.45,0.0,1177.0,,,0.0,0,,5597.0,92.01,-91.12,0.0,0.9,0.13,-0.07,0.0,0.93,0.05,-0.06,0.0,-0.06,0.149,-0.196,0.0,[Fe/H],4.5,0.05,-0.13,0.0,19h26m11.54s,291.5480665,+50d21m11.73s,50.3532584,1015.69,26.04,-24.784,15.322,0.126,-0.126,13.612,0.047,-0.047,15.2205,0.000447,-0.000447,0.1142857142857143,0.006859660163624922,0,1.3885748588072264,0.0,Low Eccentricity,Main Sequence,yellow,1.4852279202456732e-05,1,1015.69,0.98987135295517,Outside Habitable Zone,0.2481635398437966,Gaseous,Hotter than Earth,Close-in Planet
2493,Kepler-1358 b,Kepler-1358,1,1,Transit,2016,Kepler,0,7.06317341,2.9e-05,-2.9e-05,0.0,0.0656,,,0.0,1.12,0.07,-0.1,0.0,0.1,0.006,-0.009,0.0,1.46,,,0.0,0.00459,,,0.0,M-R relationship,0.0,,,0.0,98.83,3.54,-3.43,0.0,827.0,,,0.0,0,,5181.0,58.32,-55.42,0.0,0.79,0.04,-0.05,0.0,0.82,0.04,-0.05,0.0,-0.08,0.153,-0.179,0.0,[Fe/H],4.57,0.03,-0.06,0.0,19h04m40.93s,286.1705469,+43d00m32.04s,43.0089,546.998,6.201,-6.065,14.693,0.103,-0.103,12.656,0.03,-0.03,14.5403,0.000717,-0.000717,0.10000000000000002,0.0045940843297671485,0,2.0873072023549093,0.0,Low Eccentricity,Dwarf,yellow,4.910650229381666e-05,1,546.998,0.9977451733272399,Outside Habitable Zone,0.24809052518794608,Gaseous,Hotter than Earth,Close-in Planet
2494,Kepler-1359 b,Kepler-1359,1,1,Transit,2016,Kepler,0,59.4970952,0.0005052,-0.0005052,0.0,0.2769,,,0.0,2.83,0.45,-0.32,0.0,0.252,0.04,-0.029,0.0,8.4,,,0.0,0.0264,,,0.0,M-R relationship,0.0,,,0.0,2.45,0.14,-0.13,0.0,369.0,,,0.0,0,,4709.0,46.37,-55.6,0.0,0.72,0.02,-0.02,0.0,0.78,0.03,-0.04,0.0,0.11,0.134,-0.177,0.0,[Fe/H],4.62,0.01,-0.03,0.0,19h18m09.32s,289.538818,+41d53m34.14s,41.8928154,614.859,14.438,-13.8,15.987,0.08,-0.08,13.43,0.033,-0.033,15.7534,0.000609,-0.000609,0.2526785714285715,0.02643171806167401,0,4.102595350660984,0.0,Low Eccentricity,Dwarf,orange,4.228787929454881e-05,1,614.859,0.999740688952531,Outside Habitable Zone,0.08847719998771161,Gaseous,Hotter than Earth,Moderate Distance
